ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785521966.730,5.5,100.0,89.58,4.0,24.0,0,0,43831,115.50,0,0,43831,114.50,0,0,3,35.53,0,0,3,33.80
1785521967.730,5.6,100.0,89.57,6.0,26.0,0,0,43831,115.27,0,0,43831,114.55,0,0,3,35.58,0,0,3,33.80
1785521968.730,4.9,100.0,89.56,5.0,22.0,0,0,43831,115.27,0,0,43831,114.50,0,0,3,35.57,0,0,3,33.80
1785521969.730,4.4,100.0,89.55,7.0,32.0,0,0,43831,115.21,0,0,43831,114.50,0,0,3,35.57,0,0,3,33.80
1785521970.730,4.4,100.0,89.55,7.0,46.0,0,0,43831,115.40,0,0,43831,114.50,0,0,3,35.53,0,0,3,33.75
1785521971.730,4.4,100.0,89.52,3.0,24.0,0,0,43831,115.46,0,0,43831,114.50,0,0,3,35.52,0,0,3,33.75
1785521972.730,4.2,100.0,89.52,7.0,31.0,0,0,43831,115.21,0,0,43831,114.55,0,0,3,35.53,0,0,3,33.75
1785521973.730,5.1,100.0,89.53,7.0,33.0,0,0,43831,115.21,0,0,43831,114.50,0,0,3,35.48,0,0,3,33.75
1785521974.731,6.5,99.0,89.74,2.0,45.0,0,0,43831,115.19,0,0,43831,113.90,0,0,3,35.53,0,0,3,33.75
1785521975.731,5.7,100.0,89.75,6.0,209.3,0,0,43831,115.44,0,0,43831,113.17,0,0,3,35.53,0,0,3,33.70
1785521976.731,7.2,100.0,89.76,4.0,269.8,0,0,43831,115.47,0,0,43831,113.04,0,0,3,35.47,0,0,3,33.74
1785521977.731,4.3,100.0,89.76,5.0,14.0,0,0,43831,115.18,0,0,43831,113.04,0,0,3,35.51,0,0,3,33.80
1785521978.731,4.3,100.0,89.78,6.0,15.0,0,0,43831,115.12,0,0,43831,113.04,0,0,3,35.53,0,0,3,33.75
1785521979.731,8.0,100.0,89.78,5.0,15.0,0,0,43831,115.06,0,0,43831,112.94,0,0,3,35.48,0,0,3,33.75
1785521980.731,10.4,100.0,88.46,3.0,15.0,0,0,43831,115.21,0,0,43831,112.86,0,0,3,35.52,0,0,3,33.79
1785521981.731,4.5,100.0,88.48,6.0,27.0,0,0,43831,115.19,0,0,43831,112.89,0,0,3,35.51,0,0,3,33.79
1785521982.731,4.6,100.0,88.51,2.0,36.0,0,0,43831,115.06,0,0,43831,112.99,0,0,3,35.51,0,0,3,33.74
1785521983.731,4.8,100.0,88.52,6.0,28.0,0,0,43831,115.07,0,0,43831,112.92,0,0,3,35.52,0,0,3,33.70
1785521984.732,8.7,100.0,89.15,2.0,47.1,0,0,43831,115.02,0,0,43831,112.84,0,0,3,35.48,0,0,3,33.71
1785521985.732,11.2,100.0,89.30,6.0,47.0,0,0,43831,114.97,0,0,43831,112.83,0,0,3,35.52,0,0,3,33.75
1785521986.732,11.6,100.0,89.34,2.0,43.0,0,0,43831,115.15,0,0,43831,112.91,0,0,3,35.47,0,0,3,33.75
1785521987.732,11.1,100.0,89.33,4.0,23.0,0,0,43831,115.15,0,0,43831,112.93,0,0,3,35.37,0,0,3,33.80
1785521988.732,11.4,100.0,89.35,5.0,22.0,0,0,43831,114.99,0,0,43831,112.84,0,0,3,35.37,0,0,3,33.85
1785521989.732,11.7,100.0,89.36,4.0,43.0,0,0,43831,114.99,0,0,43831,112.84,0,0,3,35.42,0,0,3,33.80
1785521990.732,12.8,100.0,89.42,3.0,34.0,0,0,43831,114.88,0,0,43831,112.79,0,0,3,35.53,0,0,3,33.75
1785521991.732,11.7,100.0,89.45,3.0,23.0,0,0,43831,114.93,0,0,43831,112.94,0,0,3,35.58,0,0,3,33.71
1785521992.732,11.5,100.0,89.49,4.0,45.0,0,0,43831,114.97,0,0,43831,112.97,0,0,3,35.52,0,0,3,33.71
1785521993.732,11.3,100.0,89.48,5.0,42.0,0,0,43831,114.94,0,0,43831,112.89,0,0,3,35.47,0,0,3,33.71
1785521994.732,11.5,100.0,89.48,2.0,37.0,0,0,43831,114.92,0,0,43831,112.87,0,0,3,35.47,0,0,3,33.75
1785521995.733,11.1,100.0,89.47,5.0,25.0,0,0,43831,114.85,0,0,43831,112.81,0,0,3,35.52,0,0,3,33.85
1785521996.733,13.5,100.0,89.51,4.0,41.1,0,0,43831,114.93,0,0,43831,112.89,0,0,3,35.56,0,0,3,33.80
1785521997.733,15.6,100.0,89.85,5.0,57.8,0,0,43831,114.95,0,0,43831,112.92,0,0,3,35.58,0,0,3,33.76
1785521998.733,15.0,100.0,90.69,3.0,61.0,0,0,43831,114.95,0,0,43831,112.87,0,0,3,35.58,0,0,3,33.76
1785521999.733,9.9,100.0,90.43,5.0,100.1,0,0,43831,115.02,0,0,43831,112.86,0,0,3,35.52,0,0,3,33.75
1785522000.733,4.8,100.0,89.79,6.0,99.9,0,0,43831,115.02,0,0,43831,112.86,0,0,3,35.52,0,0,3,33.75
