ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785713282.879,2.0,73.3,24.77,8.0,0.0,0,0,0,32.09,0,0,0,30.74,0,0,0,30.51,0,0,0,30.70
1785713283.879,1.8,100.0,24.76,11.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.42,0,0,0,30.70
1785713284.879,2.3,75.2,24.77,10.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.42,0,0,0,30.61
1785713285.880,1.7,100.0,24.77,20.0,0.0,0,0,0,31.99,0,0,0,30.79,0,0,0,30.47,0,0,0,30.61
1785713286.880,2.0,100.0,24.74,18.0,0.0,0,0,0,31.99,0,0,0,30.74,0,0,0,30.47,0,0,0,30.65
1785713287.880,1.7,100.0,24.74,8.0,0.0,0,0,0,32.04,0,0,0,30.80,0,0,0,30.51,0,0,0,30.60
1785713288.880,1.8,52.0,24.75,6.0,0.0,0,0,0,32.04,0,0,0,30.80,0,0,0,30.61,0,0,0,30.61
1785713289.880,1.7,100.0,24.74,7.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.57,0,0,0,30.66
1785713290.880,1.9,53.0,24.73,8.0,0.0,0,0,0,31.99,0,0,0,30.80,0,0,0,30.42,0,0,0,30.80
1785713291.880,1.8,100.0,24.74,13.0,0.0,0,0,0,31.99,0,0,0,30.80,0,0,0,30.42,0,0,0,30.80
1785713292.880,2.5,100.0,24.73,11.0,0.0,0,0,0,31.99,0,0,0,30.85,0,0,0,30.46,0,0,0,30.70
1785713293.880,1.8,100.0,24.72,10.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.41,0,0,0,30.70
1785713294.881,1.9,80.8,24.72,9.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.42,0,0,0,30.65
1785713295.881,1.7,100.0,24.73,11.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.43,0,0,0,30.60
1785713296.881,4.1,73.0,24.73,7.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.42,0,0,0,30.61
1785713297.881,2.0,100.0,24.74,8.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.52,0,0,0,30.66
1785713298.881,1.9,100.0,24.74,6.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.52,0,0,0,30.60
1785713299.881,1.6,100.0,24.72,8.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.42,0,0,0,30.61
1785713300.881,1.9,82.8,24.71,7.0,0.0,0,0,0,31.94,0,0,0,30.80,0,0,0,30.52,0,0,0,30.72
1785713301.881,2.1,100.0,24.72,9.0,0.0,0,0,0,31.94,0,0,0,30.75,0,0,0,30.56,0,0,0,30.71
1785713302.881,1.9,75.0,24.74,9.0,0.0,0,0,0,31.94,0,0,0,30.84,0,0,0,30.51,0,0,0,30.65
1785713303.881,2.0,100.0,24.73,9.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.57,0,0,0,30.60
1785713304.882,1.9,100.0,24.73,11.0,0.0,0,0,0,32.04,0,0,0,30.74,0,0,0,30.57,0,0,0,30.61
1785713305.882,1.7,100.0,24.72,9.0,0.0,0,0,0,32.04,0,0,0,30.74,0,0,0,30.52,0,0,0,30.62
1785713306.882,3.7,83.2,24.73,10.0,0.0,0,0,0,31.99,0,0,0,30.75,0,0,0,30.57,0,0,0,30.61
1785713307.882,2.9,100.0,24.73,13.0,0.0,0,0,0,31.94,0,0,0,30.80,0,0,0,30.57,0,0,0,30.61
1785713308.882,3.1,100.0,24.73,6.0,0.0,0,0,0,31.94,0,0,0,30.84,0,0,0,30.62,0,0,0,30.56
1785713309.882,2.5,100.0,24.72,8.0,0.0,0,0,0,31.94,0,0,0,30.84,0,0,0,30.57,0,0,0,30.61
1785713310.882,2.1,100.0,24.71,15.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.47,0,0,0,30.65
1785713311.882,2.3,100.0,24.68,20.0,0.0,0,0,0,32.09,0,0,0,30.84,0,0,0,30.52,0,0,0,30.70
1785713312.882,2.1,100.0,24.69,15.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.47,0,0,0,30.66
1785713313.883,2.4,89.0,24.70,18.0,0.0,0,0,0,31.99,0,0,0,30.90,0,0,0,30.52,0,0,0,30.61
1785713314.883,2.4,100.0,24.70,16.0,0.0,0,0,0,32.04,0,0,0,30.85,0,0,0,30.52,0,0,0,30.70
1785713315.883,1.9,98.0,24.70,17.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.47,0,0,0,30.76
1785713316.883,2.7,100.0,24.71,17.0,0.0,0,0,0,31.99,0,0,0,30.79,0,0,0,30.47,0,0,0,30.76
1785713317.883,4.2,100.0,24.72,15.0,0.0,0,0,0,31.99,0,0,0,30.75,0,0,0,30.47,0,0,0,30.76
1785713318.883,5.9,100.0,24.71,16.0,0.0,0,0,0,31.99,0,0,0,30.79,0,0,0,30.52,0,0,0,30.76
1785713319.883,2.3,84.0,24.70,14.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.52,0,0,0,30.76
1785713320.883,2.2,100.0,24.71,15.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.47,0,0,0,30.66
1785713321.883,2.0,94.1,24.71,15.0,0.0,0,0,0,31.99,0,0,0,30.79,0,0,0,30.47,0,0,0,30.60
1785713322.884,1.9,100.0,24.71,21.0,0.0,0,0,0,31.99,0,0,0,30.90,0,0,0,30.47,0,0,0,30.65
1785713323.884,2.4,100.0,24.71,16.0,0.0,0,0,0,31.99,0,0,0,30.90,0,0,0,30.42,0,0,0,30.71
1785713324.884,1.8,100.0,24.72,14.0,0.0,0,0,0,31.99,0,0,0,30.75,0,0,0,30.37,0,0,0,30.76
